Metric Name,Type,Priority,Metric Meaning,Practical interpretation/Context
o1_gmv,DoorDash Check Metric,0,Gross merchandise value (GMV) of the primary (O1) order that preceded a DoubleDash attachment.,"pay attention to this for PCC tests, given previously mentioned cart building interference. not launch blocking if this regresses, but ox subtotal combined must be solidly neutral+"
o1_vp,DoorDash Check Metric,0,Total variable profit generated from the primary (O1) order before the DoubleDash attachment.,
o1_vp_per_cx,DoorDash Check Metric,,Average variable profit per customer from primary (O1) orders preceding a DoubleDash.,
order_inflation_rate,DoorDash Check Metric,,Rate at which total orders increase through merchants with high item-level price inflation.,
order_rate_per_entity_7d,DoorDash Check Metric,,Average number of orders per customer per day over the past 7 days.,
smb_rx_filtered_core_volume,DoorDash Check Metric,,Order volume from small and medium-sized restaurant businesses.,
variable_profit_per_order,DoorDash Check Metric,,Variable profit (VP) earned per individual order.,
vol_from_over_25,DoorDash Check Metric,,Order volume generated from customers with over 25 lifetime orders.,
order_rate_per_entity,Guardrail ,0,important guardrail - this is the official company wide order rate metric,p0 order rate guardrail
dsmp_order_rate,Guardrail ,0,"important guardrail - this WAS the official company wide order rate metric. dsmp = discovery, search, merchandising, personalization",p0 order rate guardrail - also very important
active_share,Guardrail ,0,company wide pMAU (% of DD visitors ordering anything O1 or O2 on DD),
